year	number	party_name	report_date	report_url	verify_url
2018	8	Политическая партия «Партия народной свободы» (ПАРНАС)	 01.03.2019 	/politparty/finance/svodn_otchet_18/PARNAS.PDF	/politparty/finance/svodn_otchet_18/PARNAS.docx
2018	9	Политическая партия «Демократическая партия России»	 26.03.2019 	/politparty/finance/svodn_otchet_18/DEMOKR.PARTIYA.PDF	/politparty/finance/svodn_otchet_18/DEMOKR.PARTIYA.doc
2018	10	Общероссийская политическая партия «Народная партия «За женщин России»	 28.03.2019 	/politparty/finance/svodn_otchet_18/ZA_ZHENSCHIN.PDF	/politparty/finance/svodn_otchet_18/ZA_ZHENSCHIN.doc
2018	11	ПОЛИТИЧЕСКАЯ ПАРТИЯ «АЛЬЯНС ЗЕЛЕНЫХ»	 не представлен 		
2018	12	Политическая партия «Союз Горожан»	 26.03.2019 	/politparty/finance/svodn_otchet_18/SOYUZ GOROJAN.PDF	/politparty/finance/svodn_otchet_18/SOYUZ GOROJAN.doc
2018	13	Всероссийская политическая партия «Народная партия России»	 26.03.2019 	/politparty/finance/svodn_otchet_18/NARODNAYA_PARTIYA.PDF	/politparty/finance/svodn_otchet_18/NARODNAYA_PARTIYA.doc
2018	14	Политическая партия «ПАРТИЯ ПРОГРЕССА»	 26.03.2019 	/politparty/finance/svodn_otchet_18/PROGRESSA.PDF	/politparty/finance/svodn_otchet_18/PROGRESSA.doc
2018	15	Всероссийская политическая партия «Социал-демократическая партия России»	 26.03.2019 	/politparty/finance/svodn_otchet_18/SOCIAL-DEMOKR.PDF	/politparty/finance/svodn_otchet_18/SOCIAL-DEMOKR.docx
2018	16	Политическая партия «Коммунистическая партия социальной справедливости»	 26.03.2019 	/politparty/finance/svodn_otchet_18/KPSS.PDF	/politparty/finance/svodn_otchet_18/KPSS.doc
2018	17	Всероссийская политическая партия «Партия пенсионеров России»	 28.03.2019 	/politparty/finance/svodn_otchet_18/PENSIONEROV ROSSII.PDF	/politparty/finance/svodn_otchet_18/PENSIONEROV ROSSII.doc
2018	18	Политическая партия «Города России»	 28.03.2019 	/politparty/finance/svodn_otchet_18/GORODA_ROSSII.PDF	/politparty/finance/svodn_otchet_18/GORODA_ROSSII.doc
2018	19	Всероссийская политическая партия «Партия свободных граждан»	 28.03.2019 	/politparty/finance/svodn_otchet_18/SVOBODNYH_GRAZDAN.PDF	/politparty/finance/svodn_otchet_18/SVOBODNYH_GRAZDAN.doc
2018	20	Политическая партия «Российская экологическая партия «Зелёные»	 06.03.2019 	/politparty/finance/svodn_otchet_18/ZELENIYE.PDF	/politparty/finance/svodn_otchet_18/ZELENIYE.docx
2018	21	Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	 18.03.2019 	/politparty/finance/svodn_otchet_18/KOMMUNISTY_ROSSII.PDF	/politparty/finance/svodn_otchet_18/KOMMUNISTY_ROSSII.doc
2018	22	Всероссийская политическая партия «Аграрная партия России»	 26.03.2019 	/politparty/finance/svodn_otchet_18/APR.PDF	/politparty/finance/svodn_otchet_18/APR.docx
2018	23	Общественная организация ─ политическая партия «РОССИЙСКИЙ ОБЩЕНАРОДНЫЙ СОЮЗ»	 28.03.2019 	/politparty/finance/svodn_otchet_18/ROS.PDF	/politparty/finance/svodn_otchet_18/ROS.doc
2018	24	Всероссийская политическая партия ПАРТИЯ ЗА СПРАВЕДЛИВОСТЬ!	 22.03.2019 	/politparty/finance/svodn_otchet_18/ZA_SPRAVEDLIVOST.PDF	/politparty/finance/svodn_otchet_18/ZA_SPRAVEDLIVOST.doc
2018	25	Политическая партия СОЦИАЛЬНОЙ ЗАЩИТЫ	 07.03.2019 	/politparty/finance/svodn_otchet_18/SOCIALNOY_ZASCHITY.PDF	/politparty/finance/svodn_otchet_18/SOCIALNOY_ZASCHITY.doc
2018	26	Общественная организация Всероссийская политическая партия «Гражданская Сила»	 27.03.2019 	/politparty/finance/svodn_otchet_18/GRAZHD_SILA.PDF	/politparty/finance/svodn_otchet_18/GRAZHD_SILA.doc
2018	27	Политическая партия «Российская партия пенсионеров за социальную справедливость»	 26.03.2019 	/politparty/finance/svodn_otchet_18/PENSIONERI ZA SPRAVED.PDF	/politparty/finance/svodn_otchet_18/PENSIONERI ZA SPRAVED.docx
2018	28	Всероссийская политическая партия «НАРОДНЫЙ АЛЬЯНС»	 26.03.2019 	/politparty/finance/svodn_otchet_18/NARODNIY ALIANS.PDF	/politparty/finance/svodn_otchet_18/NARODNIY ALIANS.doc
2018	29	Политическая партия «Монархическая партия»	 22.01.2019 	/politparty/finance/svodn_otchet_18/MONARHICHESKAYA.PDF	/politparty/finance/svodn_otchet_18/MONARHICHESKAYA.doc
2018	30	Политическая партия «Гражданская Платформа»	 01.04.2019 	/politparty/finance/svodn_otchet_18/GRAZHD_PLATFORMA.PDF	/politparty/finance/svodn_otchet_18/GRAZHD_PLATFORMA.doc
2018	31	Всероссийская политическая партия «ЧЕСТНО» /Человек. Справедливость. Ответственность/»	 29.03.2019 	/politparty/finance/svodn_otchet_18/CHESTNO.PDF	/politparty/finance/svodn_otchet_18/CHESTNO.doc
2018	32	Политическая партия «Трудовая партия России»	 25.03.2019 	/politparty/finance/svodn_otchet_18/TRUDOVAYA.PDF	/politparty/finance/svodn_otchet_18/TRUDOVAYA.doc
2018	33	Политическая партия «Против всех»	 29.01.2019 	/politparty/finance/svodn_otchet_18/PROTIV_VSEH.PDF	/politparty/finance/svodn_otchet_18/PROTIV_VSEH.doc
2018	34	Политическая партия «Российская Социалистическая партия»	 28.03.2019 	/politparty/finance/svodn_otchet_18/RSP.PDF	/politparty/finance/svodn_otchet_18/RSP.doc
2018	35	Политическая партия «ПАРТИЯ ВЕТЕРАНОВ РОССИИ»	 28.03.2019 	/politparty/finance/svodn_otchet_18/VETERANOV_ROSSII.PDF	/politparty/finance/svodn_otchet_18/VETERANOV_ROSSII.doc
2018	36	Политическая партия «Российский Объединённый Трудовой Фронт»	 27.03.2019 	/politparty/finance/svodn_otchet_18/ROT_FRONT.PDF	/politparty/finance/svodn_otchet_18/ROT_FRONT.doc
2018	37	Всероссийская политическая партия «ПАРТИЯ ДЕЛА»	 26.03.2019 	/politparty/finance/svodn_otchet_18/DELA.PDF	/politparty/finance/svodn_otchet_18/DELA.docx
2018	38	Всероссийская политическая партия «РОДИНА»	 28.03.2019 	/politparty/finance/svodn_otchet_18/RODINA.PDF	/politparty/finance/svodn_otchet_18/RODINA.doc
2018	39	Всероссийская политическая партия «Союз Труда»	 22.03.2019 	/politparty/finance/svodn_otchet_18/SOUZ_TRUDA.PDF	/politparty/finance/svodn_otchet_18/SOUZ_TRUDA.doc
2018	40	Всероссийская политическая партия «Женский Диалог»	 29.03.2019 	/politparty/finance/svodn_otchet_18/JENSKIY_DIALOG.PDF	/politparty/finance/svodn_otchet_18/JENSKIY_DIALOG.docx
2018	41	Всероссийская политическая партия «Партия Возрождения Села»	 01.04.2019 	/politparty/finance/svodn_otchet_18/V_SELA.PDF	/politparty/finance/svodn_otchet_18/V_SELA.doc
2018	42	Общественная организация ─ Всероссийская политическая партия «ЗАЩИТНИКИ ОТЕЧЕСТВА»	 30.03.2019 	/politparty/finance/svodn_otchet_18/ZASCHITNIKI_OTECHESTVA.PDF	/politparty/finance/svodn_otchet_18/ZASCHITNIKI_OTECHESTVA.doc
2018	43	Политическая партия «Казачья партия Российской Федерации»	 27.03.2019 	/politparty/finance/svodn_otchet_18/KAZACHYA.PDF	/politparty/finance/svodn_otchet_18/KAZACHYA.docx
2018	44	Общероссийская политическая партия «РАЗВИТИЕ РОССИИ»	 21.03.2019 	/politparty/finance/svodn_otchet_18/RAZVITIE_ROSSII.PDF	/politparty/finance/svodn_otchet_18/RAZVITIE_ROSSII.doc
2018	45	Политическая партия «Демократическая правовая Россия»	 21.01.2019 	/politparty/finance/svodn_otchet_18/DEM_PRAVOVAYA.PDF	/politparty/finance/svodn_otchet_18/DEM_PRAVOVAYA.doc
